,Legislation Number,URL,Congress,Title,Sponsor,Date of Introduction,Committees,Latest Action,Latest Action Date,Number of Cosponsors,topic,cosponsor_ids
217,H.R. 7716,https://www.congress.gov/bill/119th-congress/house-bill/7716,119th Congress (2025-2026),"To prohibit the imposition of additional tariffs on agricultural inputs imported from countries to which the United States has extended normal trade relations, and for other purposes.","Tokuda, Jill N. [Rep.-D-HI-2]",2026-02-25,House - Ways and Means,Referred to the House Committee on Ways and Means.,2026-02-25,8,environment,"['M001232', 'H001081', 'S001226', 'F000481', 'S001218', 'M001234', 'K000385', 'A000370']"
218,H.R. 7715,https://www.congress.gov/bill/119th-congress/house-bill/7715,119th Congress (2025-2026),"To amend title 18, United States Code, to prohibit coercing protected adults to send or otherwise transmit an intimate visual depiction, and for other purposes.","Stevens, Haley M. [Rep.-D-MI-11]",2026-02-25,House - Judiciary,Referred to the House Committee on the Judiciary.,2026-02-25,1,housing,['D000624']
219,H.R. 7714,https://www.congress.gov/bill/119th-congress/house-bill/7714,119th Congress (2025-2026),"To designate the facility of the United States Postal Service located at 101 North Colorado Street in Chandler, Arizona, as the ""Mayor Coy Payne Memorial Post Office Building"".","Stanton, Greg [Rep.-D-AZ-4]",2026-02-25,House - Oversight and Government Reform,Referred to the House Committee on Oversight and Government Reform.,2026-02-25,1,housing,['A000381']
220,H.R. 7713,https://www.congress.gov/bill/119th-congress/house-bill/7713,119th Congress (2025-2026),To amend title XIX of the Social Security Act to ensure the appropriate availability of personal care services under the Medicaid program.,"Schweikert, David [Rep.-R-AZ-1]",2026-02-25,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,2026-02-25,0,healthcare,[]
221,H.R. 7712,https://www.congress.gov/bill/119th-congress/house-bill/7712,119th Congress (2025-2026),"To direct the Secretary of Agriculture to collaborate with various entities, and to establish a grant program, as a means of supporting nurseries and seed orchards, and for other purposes.","Schrier, Kim [Rep.-D-WA-8]",2026-02-25,House - Agriculture,Referred to the House Committee on Agriculture.,2026-02-25,1,funding,['B001301']
222,H.R. 7711,https://www.congress.gov/bill/119th-congress/house-bill/7711,119th Congress (2025-2026),No Rewards for January 6 Rioters Act,"Ross, Deborah K. [Rep.-D-NC-2]",2026-02-25,House - Judiciary,Referred to the House Committee on the Judiciary.,2026-02-25,6,public_safety,"['R000606', 'M001206', 'W000822', 'N000147', 'J000288', 'S001205']"
223,H.R. 7710,https://www.congress.gov/bill/119th-congress/house-bill/7710,119th Congress (2025-2026),"To amend title 10, United States Code, to include Indian tribes in the defense community infrastructure program, and for other purposes.","Randall, Emily [Rep.-D-WA-6]",2026-02-25,House - Armed Services,Referred to the House Committee on Armed Services.,2026-02-25,1,public_safety,"['W000804', 'E000299']"
224,H.R. 7709,https://www.congress.gov/bill/119th-congress/house-bill/7709,119th Congress (2025-2026),"To amend the Homeland Security Act of 2002 to prohibit the Secretary of Homeland Security from obligating or expending Federal funds for the acquisition of, or utilizing, full-body restraints, and for other purposes.","Ramirez, Delia C. [Rep.-D-IL-3]",2026-02-25,House - Homeland Security,Referred to the House Committee on Homeland Security.,2026-02-25,13,public_safety,"['N000147', 'T000481', 'G000599', 'S001231', 'J000288', 'E000297', 'D000096', 'L000602', 'L000397', 'V000081', 'R000621', 'E000296', 'F000476']"
225,H.R. 7708,https://www.congress.gov/bill/119th-congress/house-bill/7708,119th Congress (2025-2026),"To amend the Immigration and Nationality Act to require the Secretary of Homeland Security to return identification documents to individuals upon their release from custody, and for other purposes.","Pingree, Chellie [Rep.-D-ME-1]",2026-02-25,House - Judiciary,Referred to the House Committee on the Judiciary.,2026-02-25,0,public_safety,[]
226,H.R. 7707,https://www.congress.gov/bill/119th-congress/house-bill/7707,119th Congress (2025-2026),To amend the Internal Revenue Code of 1986 to impose a tax on income earned from competing in global athletic events on behalf of foreign entities of concern.,"Ogles, Andrew [Rep.-R-TN-5]",2026-02-25,House - Ways and Means,Referred to the House Committee on Ways and Means.,2026-02-25,0,funding,[]
227,H.R. 7706,https://www.congress.gov/bill/119th-congress/house-bill/7706,119th Congress (2025-2026),Federal Retirement Safety Act,"Neguse, Joe [Rep.-D-CO-2]",2026-02-25,House - Oversight and Government Reform,Referred to the House Committee on Oversight and Government Reform.,2026-02-25,6,public_safety,"['B000740', 'M001160', 'D000624', 'N000147', 'T000481', 'L000602', 'G000606']"
228,H.R. 7705,https://www.congress.gov/bill/119th-congress/house-bill/7705,119th Congress (2025-2026),"To amend the Internal Revenue Code of 1986 to treat Indian Tribal Governments in the same manner as State governments for certain Federal tax purposes, and for other purposes.","Moore, Gwen [Rep.-D-WI-4]",2026-02-25,"House - Ways and Means, Education and Workforce","Referred to the Committee on Ways and Means, and in addition to the Committee on Education and Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2026-02-25,10,funding,"['S001183', 'T000460', 'Y000067', 'D000617', 'C001053', 'D000629', 'V000129', 'P000613', 'M001194', 'H001068']"
229,H.R. 7704,https://www.congress.gov/bill/119th-congress/house-bill/7704,119th Congress (2025-2026),"To amend title 38, United States Code, to require call centers of the Department of Veterans Affairs to use multi-factor identification to verify the identity of callers in connection with high-impact veteran or beneficiary actions, and for other purposes.","Moore, Barry [Rep.-R-AL-1]",2026-02-25,House - Veterans' Affairs,Referred to the House Committee on Veterans' Affairs.,2026-02-25,2,veterans,"['V000139', 'R000612']"
230,H.R. 7703,https://www.congress.gov/bill/119th-congress/house-bill/7703,119th Congress (2025-2026),"To amend title 18, United States Code, to provide that the prohibition on the possession of firearms and ammunition by certain aliens shall apply with respect to the use of firearms and ammunition by government entities.","Miller, Mary E. [Rep.-R-IL-15]",2026-02-25,House - Judiciary,Referred to the House Committee on the Judiciary.,2026-02-25,20,public_safety,"['H001096', 'M001212', 'F000484', 'G000565', 'H001077', 'R000614', 'E000235', 'M001216', 'O000175', 'D000616', 'S001212', 'F000478', 'H001101', 'C001129', 'Y000067', 'L000596', 'R000619', 'R000612', 'B001325', 'K000397', 'F000469', 'M001239', 'V000139']"
231,H.R. 7702,https://www.congress.gov/bill/119th-congress/house-bill/7702,119th Congress (2025-2026),Death Penalty for Child Rapists Act,"Mace, Nancy [Rep.-R-SC-1]",2026-02-25,"House - Judiciary, Armed Services","Referred to the Committee on the Judiciary, and in addition to the Committee on Armed Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2026-02-25,1,public_safety,['F000484']
232,H.R. 7701,https://www.congress.gov/bill/119th-congress/house-bill/7701,119th Congress (2025-2026),"To amend the United States Housing Act of 1937 to reduce rent in public housing for police officers, firefighters, and emergency medical technicians.","Lawler, Michael [Rep.-R-NY-17]",2026-02-25,House - Financial Services,Referred to the House Committee on Financial Services.,2026-02-25,0,housing,[]
233,H.R. 7700,https://www.congress.gov/bill/119th-congress/house-bill/7700,119th Congress (2025-2026),To require the Secretary of Housing and Urban Development and the Comptroller General of the United States to conduct a study with respect to public housing inspections and the number of inspectors needed to ensure that all inspections are completed annually.,"Lawler, Michael [Rep.-R-NY-17]",2026-02-25,House - Financial Services,Referred to the House Committee on Financial Services.,2026-02-25,0,housing,[]
234,H.R. 7699,https://www.congress.gov/bill/119th-congress/house-bill/7699,119th Congress (2025-2026),"To ensure that Federal laws that enable Federal, State, and local law enforcement agencies to access firearms apply equally to Tribal law enforcement agencies.","Johnson, Dusty [Rep.-R-SD-At Large]",2026-02-25,"House - Ways and Means, Judiciary","Referred to the Committee on Ways and Means, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2026-02-25,1,public_safety,['B001298']
235,H.R. 7698,https://www.congress.gov/bill/119th-congress/house-bill/7698,119th Congress (2025-2026),To allow members of federally recognized Tribes to use their Tribal government identification documents in obtaining a firearm from a federally licensed firearms dealer.,"Johnson, Dusty [Rep.-R-SD-At Large]",2026-02-25,House - Judiciary,Referred to the House Committee on the Judiciary.,2026-02-25,3,environment,"['M000871', 'C001053', 'S001172']"
236,H.R. 7697,https://www.congress.gov/bill/119th-congress/house-bill/7697,119th Congress (2025-2026),"To establish an international strategy for AI research and development to improve outdated electrical grids, and for other purposes.","Hernández, Pablo Jose [Resident Commissioner-D-PR-At Large]",2026-02-25,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,2026-02-25,2,infrastructure,"['L000607', 'G000606']"
237,H.R. 7696,https://www.congress.gov/bill/119th-congress/house-bill/7696,119th Congress (2025-2026),"To establish a grant program to provide awards to National Laboratories and institutions of higher education to develop secure artificial intelligence (AI) cyber-physical testbeds to simulate grid-scale cyberattacks, and for other purposes.","Hernández, Pablo Jose [Resident Commissioner-D-PR-At Large]",2026-02-25,House - Homeland Security,Referred to the House Committee on Homeland Security.,2026-02-25,2,infrastructure,"['L000607', 'G000606']"
238,H.R. 7695,https://www.congress.gov/bill/119th-congress/house-bill/7695,119th Congress (2025-2026),"To provide that the final rule titled ""Special Areas; Roadless Area Conservation"" and issued on January 12, 2001 (66 Fed. Reg. 3244) shall have no force or effect and require the Secretary of Agriculture to construct certain roads on National Forest System lands, and for other purposes.","Hageman, Harriet M. [Rep.-R-WY-At Large]",2026-02-25,"House - Agriculture, Natural Resources","Referred to the Committee on Agriculture, and in addition to the Committee on Natural Resources, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2026-02-25,4,environment,"['D000634', 'M001228', 'S001212', 'T000165']"
239,H.R. 7694,https://www.congress.gov/bill/119th-congress/house-bill/7694,119th Congress (2025-2026),"To direct the Secretary of Health and Human Services to carry out a public awareness campaign to increase participation by women in clinical trials that are conducted or supported by the National Institutes of Health, and for other purposes.","Gottheimer, Josh [Rep.-D-NJ-5]",2026-02-25,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,2026-02-25,3,healthcare,"['P000620', 'L000599', 'F000466']"
240,H.R. 7693,https://www.congress.gov/bill/119th-congress/house-bill/7693,119th Congress (2025-2026),Leo’s Law,"Gottheimer, Josh [Rep.-D-NJ-5]",2026-02-25,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,2026-02-25,1,Other,['B001298']
241,H.R. 7692,https://www.congress.gov/bill/119th-congress/house-bill/7692,119th Congress (2025-2026),"To amend title 28, United States Code, to establish an Office of Ethics Counsel and an Office of Investigative Counsel within the Supreme Court of the United States.","Goldman, Daniel S. [Rep.-D-NY-10]",2026-02-25,House - Judiciary,Referred to the House Committee on the Judiciary.,2026-02-25,9,public_safety,"['J000288', 'N000002', 'N000147', 'T000469', 'T000488', 'G000587', 'K000391', 'I000058', 'L000601']"
242,H.R. 7691,https://www.congress.gov/bill/119th-congress/house-bill/7691,119th Congress (2025-2026),Fight Book Bans Act,"Frost, Maxwell [Rep.-D-FL-10]",2026-02-25,House - Education and Workforce,Referred to the House Committee on Education and Workforce.,2026-02-25,2,Other,"['R000606', 'W000808']"
243,H.R. 7690,https://www.congress.gov/bill/119th-congress/house-bill/7690,119th Congress (2025-2026),Dr. William W. Sullivan TRIO Upward Bound Student Stipend Support Act,"Davis, Danny K. [Rep.-D-IL-7]",2026-02-25,House - Education and Workforce,Referred to the House Committee on Education and Workforce.,2026-02-25,0,education,[]
244,H.R. 7689,https://www.congress.gov/bill/119th-congress/house-bill/7689,119th Congress (2025-2026),"Earl N. Williams, Sr., First Chance Act","Davis, Danny K. [Rep.-D-IL-7]",2026-02-25,House - Education and Workforce,Referred to the House Committee on Education and Workforce.,2026-02-25,0,public_safety,[]
245,H.R. 7688,https://www.congress.gov/bill/119th-congress/house-bill/7688,119th Congress (2025-2026),DPA Modernization Act of 2026,"Davidson, Warren [Rep.-R-OH-8]",2026-02-25,House - Financial Services,Ordered to be Reported by the Yeas and Nays: 41 - 0.,2026-03-04,4,public_safety,"['B001281', 'H001058', 'V000130', 'N000193']"
246,H.R. 7687,https://www.congress.gov/bill/119th-congress/house-bill/7687,119th Congress (2025-2026),No Tax on Takings Act,"Cline, Ben [Rep.-R-VA-6]",2026-02-25,House - Ways and Means,Referred to the House Committee on Ways and Means.,2026-02-25,5,healthcare,"['F000459', 'P000605', 'M001212', 'O000175', 'G000601']"
247,H.R. 7686,https://www.congress.gov/bill/119th-congress/house-bill/7686,119th Congress (2025-2026),Rural and Underserved Health Care Staffing Act,"Carter, Earl L. ""Buddy"" [Rep.-R-GA-1]",2026-02-25,"House - Education and Workforce, Energy and Commerce, Oversight and Government Reform, House Administration","Referred to the Committee on Education and Workforce, and in addition to the Committees on Energy and Commerce, Oversight and Government Reform, and House Administration, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2026-02-25,0,rural,[]
248,H.R. 7685,https://www.congress.gov/bill/119th-congress/house-bill/7685,119th Congress (2025-2026),Healthy Hair Act,"Brown, Shontel M. [Rep.-D-OH-11]",2026-02-25,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,2026-02-25,14,Other,"['V000081', 'P000617', 'C001067', 'N000147', 'K000400', 'W000822', 'L000602', 'C001130', 'M001229', 'H001081', 'K000385', 'B001281', 'S001185', 'C001127', 'S001223', 'O000173']"
249,H.R. 7684,https://www.congress.gov/bill/119th-congress/house-bill/7684,119th Congress (2025-2026),"To direct the Administrator of the Environmental Protection Agency to conduct a study, and publish guidance on, calculating and reporting scope 3 emissions.","Beyer, Donald S. [Rep.-D-VA-8]",2026-02-25,House - Energy and Commerce,Referred to the House Committee on Energy and Commerce.,2026-02-25,2,environment,"['M001225', 'K000391']"
250,H.R. 7683,https://www.congress.gov/bill/119th-congress/house-bill/7683,119th Congress (2025-2026),VA Fiscal Management Modernization Act,"Bergman, Jack [Rep.-R-MI-1]",2026-02-25,House - Veterans' Affairs,Referred to the House Committee on Veterans' Affairs.,2026-02-25,0,veterans,[]
251,H.R. 7682,https://www.congress.gov/bill/119th-congress/house-bill/7682,119th Congress (2025-2026),"To amend the Immigration and Nationality Act to base the numerical limitations for H-2B nonimmigrants on economic need, and for other purposes.","Bergman, Jack [Rep.-R-MI-1]",2026-02-25,"House - Judiciary, Education and Workforce","Referred to the Committee on the Judiciary, and in addition to the Committee on Education and Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2026-02-25,2,public_safety,"['S001221', 'M001194']"
252,H.R. 7681,https://www.congress.gov/bill/119th-congress/house-bill/7681,119th Congress (2025-2026),HSA’s For All Act,"Bean, Aaron [Rep.-R-FL-4]",2026-02-25,House - Ways and Means,Referred to the House Committee on Ways and Means.,2026-02-25,2,education,"['B001321', 'H001099', 'M001224']"
253,H.R. 7680,https://www.congress.gov/bill/119th-congress/house-bill/7680,119th Congress (2025-2026),Protect our Ballots Act of 2026,"Alford, Mark [Rep.-R-MO-4]",2026-02-25,"House - Judiciary, Education and Workforce","Referred to the Committee on the Judiciary, and in addition to the Committee on Education and Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2026-02-25,0,housing,[]
254,H.R. 7679,https://www.congress.gov/bill/119th-congress/house-bill/7679,119th Congress (2025-2026),CAR SEAT Act,"Gillen, Laura [Rep.-D-NY-4]",2026-02-25,"House - Transportation and Infrastructure, Energy and Commerce","Referred to the Committee on Transportation and Infrastructure, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2026-02-25,1,public_safety,"['K000404', 'M001230']"
255,H.R. 7678,https://www.congress.gov/bill/119th-congress/house-bill/7678,119th Congress (2025-2026),Gun Owner Registration Information Protection Act,"Gosar, Paul A. [Rep.-R-AZ-9]",2026-02-25,House - Judiciary,Referred to the House Committee on the Judiciary.,2026-02-25,81,housing,"['B001291', 'B001314', 'B001302', 'B001325', 'B000825', 'B001317', 'B001316', 'C001103', 'C001118', 'C001115', 'C001116', 'C001129', 'C001132', 'C001087', 'C001120', 'D000626', 'D000616', 'D000032', 'D000634', 'E000235', 'F000446', 'F000484', 'F000459', 'F000472', 'G000589', 'G000576', 'H001096', 'H001101', 'H001052', 'H001086', 'H001077', 'H001095', 'J000311', 'J000304', 'J000295', 'K000376', 'L000600', 'L000595', 'L000596', 'M001184', 'M001239', 'M001233', 'M001211', 'M001216', 'M001194', 'M001212', 'M001224', 'N000026', 'N000190', 'O000175', 'P000609', 'P000605', 'R000614', 'R000619', 'S000250', 'S001229', 'S001212', 'S001196', 'S001214', 'S001188', 'T000490', 'T000478', 'T000165', 'T000480', 'V000133', 'V000134', 'V000139', 'W000814', 'W000806', 'W000816', 'R000612', 'M001240', 'A000369', 'E000246', 'G000591', 'K000388', 'M000871', 'C001137', 'B001323', 'M001228', 'S001172', 'S001228', 'F000471', 'W000798', 'P000048', 'D000594', 'G000603']"
256,H.R. 7677,https://www.congress.gov/bill/119th-congress/house-bill/7677,119th Congress (2025-2026),Closing the Provider Fraud Gap Act,"Owens, Burgess [Rep.-R-UT-4]",2026-02-25,House - Education and Workforce,Ordered to be Reported (Amended) by the Yeas and Nays: 35 - 0.,2026-03-05,1,healthcare,['L000595']
257,H.R. 7676,https://www.congress.gov/bill/119th-congress/house-bill/7676,119th Congress (2025-2026),Career-Connected Learning Pathways Act of 2026,"McClellan, Jennifer L. [Rep.-D-VA-4]",2026-02-25,House - Education and Workforce,Referred to the House Committee on Education and Workforce.,2026-02-25,6,education,"['R000305', 'J000288', 'N000147', 'G000587', 'C001119', 'P000597', 'G000606', 'S001185']"
258,H.R. 7675,https://www.congress.gov/bill/119th-congress/house-bill/7675,119th Congress (2025-2026),Securing Partner Supply Chains Act,"Castro, Joaquin [Rep.-D-TX-20]",2026-02-25,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,2026-02-25,4,environment,"['K000397', 'L000599', 'S000344', 'B001307']"
259,H.R. 7674,https://www.congress.gov/bill/119th-congress/house-bill/7674,119th Congress (2025-2026),Venezuela Democratic Transition Strategy Act,"Moskowitz, Jared [Rep.-D-FL-23]",2026-02-25,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,2026-02-25,1,public_safety,['B001298']
260,H.R. 7673,https://www.congress.gov/bill/119th-congress/house-bill/7673,119th Congress (2025-2026),"To amend the Organic Act of Guam to provide an exception to the ""public purpose"" requirement for certain land transfers in the case of a transfer restoring such land to the original landowner or heirs, and for other purposes.","Moylan, James C. [Del.-R-GU-At Large]",2026-02-25,"House - Natural Resources, Financial Services, Foreign Affairs, Energy and Commerce","Referred to the Committee on Natural Resources, and in addition to the Committees on Financial Services, Foreign Affairs, and Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2026-02-25,0,environment,[]
261,H.R. 7672,https://www.congress.gov/bill/119th-congress/house-bill/7672,119th Congress (2025-2026),Parity for Pacific Radiation Survivors Act,"Moylan, James C. [Del.-R-GU-At Large]",2026-02-25,House - Judiciary,Referred to the House Committee on the Judiciary.,2026-02-25,0,public_safety,[]
262,H.R. 7671,https://www.congress.gov/bill/119th-congress/house-bill/7671,119th Congress (2025-2026),Students and Young Consumers Empowerment Act,"Bonamici, Suzanne [Rep.-D-OR-1]",2026-02-25,"House - Education and Workforce, Financial Services, Ways and Means","Referred to the Committee on Education and Workforce, and in addition to the Committees on Financial Services, and Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2026-02-25,4,education,"['L000602', 'B001326', 'N000147', 'T000488']"
263,H.R. 7670,https://www.congress.gov/bill/119th-congress/house-bill/7670,119th Congress (2025-2026),Specialty CROP Act of 2026,"Bonamici, Suzanne [Rep.-D-OR-1]",2026-02-25,House - Agriculture,Referred to the House Committee on Agriculture.,2026-02-25,4,environment,"['V000129', 'C001059', 'S001226', 'F000466']"
264,H.R. 7669,https://www.congress.gov/bill/119th-congress/house-bill/7669,119th Congress (2025-2026),Rejecting the Erasure of Afghan Women and Girls Act,"Kamlager-Dove, Sydney [Rep.-D-CA-37]",2026-02-25,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,2026-02-25,1,Other,"['S000344', 'R000600', 'H001058', 'S000168', 'F000484']"
265,H.R. 7668,https://www.congress.gov/bill/119th-congress/house-bill/7668,119th Congress (2025-2026),Countering China’s Control of the Caucasus Act,"Wilson, Joe [Rep.-R-SC-2]",2026-02-24,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,2026-02-24,1,environment,['C001068']
266,H.R. 7667,https://www.congress.gov/bill/119th-congress/house-bill/7667,119th Congress (2025-2026),TRICARE Fairness for National Guard and Reserve Retirees Act,"Van Drew, Jefferson [Rep.-R-NJ-2]",2026-02-24,House - Armed Services,Referred to the House Committee on Armed Services.,2026-02-24,0,veterans,[]
267,H.R. 7666,https://www.congress.gov/bill/119th-congress/house-bill/7666,119th Congress (2025-2026),SOS: Sustaining Outpatient Services Act,"Smith, Adrian [Rep.-R-NE-3]",2026-02-24,"House - Energy and Commerce, Ways and Means","Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2026-02-24,1,healthcare,['M000312']
268,H.R. 7665,https://www.congress.gov/bill/119th-congress/house-bill/7665,119th Congress (2025-2026),Friends in the Field Act,"Scholten, Hillary J. [Rep.-D-MI-3]",2026-02-24,House - Agriculture,Referred to the House Committee on Agriculture.,2026-02-24,0,education,[]
269,H.R. 7664,https://www.congress.gov/bill/119th-congress/house-bill/7664,119th Congress (2025-2026),State Partnerships to Enhance Removal of Criminal Aliens Act,"Schmidt, Derek [Rep.-R-KS-2]",2026-02-24,House - Judiciary,Referred to the House Committee on the Judiciary.,2026-02-24,0,public_safety,[]
270,H.R. 7663,https://www.congress.gov/bill/119th-congress/house-bill/7663,119th Congress (2025-2026),Restoring Washington's Birthday Act of 2026,"Ogles, Andrew [Rep.-R-TN-5]",2026-02-24,House - Oversight and Government Reform,Referred to the House Committee on Oversight and Government Reform.,2026-02-24,0,public_safety,[]
271,H.R. 7662,https://www.congress.gov/bill/119th-congress/house-bill/7662,119th Congress (2025-2026),"To enhance safety requirements for trains transporting hazardous materials, and for other purposes.","Nehls, Troy E. [Rep.-R-TX-22]",2026-02-24,"House - Transportation and Infrastructure, Science, Space, and Technology","Referred to the Committee on Transportation and Infrastructure, and in addition to the Committee on Science, Space, and Technology, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2026-02-24,2,infrastructure,"['M001196', 'D000530']"
272,H.R. 7661,https://www.congress.gov/bill/119th-congress/house-bill/7661,119th Congress (2025-2026),Stop the Sexualization of Children Act,"Miller, Mary E. [Rep.-R-IL-15]",2026-02-24,House - Education and Workforce,Referred to the House Committee on Education and Workforce.,2026-02-24,17,education,"['D000634', 'F000484', 'S001214', 'G000565', 'O000175', 'H001096', 'S001188', 'M001212', 'B001325', 'L000595', 'T000478', 'R000614', 'D000626', 'W000814', 'R000612', 'O000086', 'S001224', 'M001239', 'B001295']"
273,H.R. 7660,https://www.congress.gov/bill/119th-congress/house-bill/7660,119th Congress (2025-2026),HBCU Empowerment and Reform Act,"McCormick, Richard [Rep.-R-GA-7]",2026-02-24,House - Education and Workforce,Referred to the House Committee on Education and Workforce.,2026-02-24,0,education,[]
274,H.R. 7659,https://www.congress.gov/bill/119th-congress/house-bill/7659,119th Congress (2025-2026),"To designate the Pride flag as an authorized flag eligible for display at units of the National Park System, to express the sense of Congress that the Pride flag should be on display at the Stonewall National Monument in the State of New York, and for other purposes.","Goldman, Daniel S. [Rep.-D-NY-10]",2026-02-24,House - Natural Resources,Referred to the House Committee on Natural Resources.,2026-02-24,6,environment,"['D000631', 'N000147', 'C001125', 'N000002', 'K000391', 'C001112', 'G000606', 'L000606']"
275,H.R. 7658,https://www.congress.gov/bill/119th-congress/house-bill/7658,119th Congress (2025-2026),Enhanced Cybersecurity for SNAP Act of 2026,"Goldman, Daniel S. [Rep.-D-NY-10]",2026-02-24,House - Agriculture,Referred to the House Committee on Agriculture.,2026-02-24,4,public_safety,"['L000599', 'S000510', 'F000466', 'R000622']"
276,H.R. 7657,https://www.congress.gov/bill/119th-congress/house-bill/7657,119th Congress (2025-2026),Military Family Diaper Partnership Act,"Foushee, Valerie P. [Rep.-D-NC-4]",2026-02-24,House - Armed Services,Referred to the House Committee on Armed Services.,2026-02-24,3,veterans,"['M001230', 'N000147', 'L000599']"
277,H.R. 7656,https://www.congress.gov/bill/119th-congress/house-bill/7656,119th Congress (2025-2026),"To support marine carbon dioxide removal activities, and for other purposes.","Bonamici, Suzanne [Rep.-D-OR-1]",2026-02-24,"House - Science, Space, and Technology, Natural Resources","Referred to the Committee on Science, Space, and Technology, and in addition to the Committee on Natural Resources, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",2026-02-24,2,environment,"['C001103', 'T000469']"
278,H.R. 7655,https://www.congress.gov/bill/119th-congress/house-bill/7655,119th Congress (2025-2026),Support for Expectant and Parenting Foster Youth Act,"Yakym, Rudy [Rep.-R-IN-2]",2026-02-24,House - Ways and Means,Referred to the House Committee on Ways and Means.,2026-02-24,1,education,['D000096']
279,H.R. 7654,https://www.congress.gov/bill/119th-congress/house-bill/7654,119th Congress (2025-2026),Advance Global Health Act,"Lawler, Michael [Rep.-R-NY-17]",2026-02-24,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,2026-02-24,1,healthcare,['J000298']
280,H.R. 7653,https://www.congress.gov/bill/119th-congress/house-bill/7653,119th Congress (2025-2026),Biodefense Diplomacy Enhancement Act,"Self, Keith [Rep.-R-TX-3]",2026-02-23,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,2026-02-23,4,funding,"['K000375', 'S000344', 'B001307', 'L000599']"
281,H.R. 7652,https://www.congress.gov/bill/119th-congress/house-bill/7652,119th Congress (2025-2026),Respect for Local Communities Act,"Pappas, Chris [Rep.-D-NH-1]",2026-02-23,House - Judiciary,Referred to the House Committee on the Judiciary.,2026-02-23,6,rural,"['G000604', 'H001085', 'P000034', 'F000477', 'D000629', 'T000488']"
282,H.R. 7651,https://www.congress.gov/bill/119th-congress/house-bill/7651,119th Congress (2025-2026),Chloe Cole Act of 2026,"Onder, Robert F. [Rep.-R-MO-3]",2026-02-23,House - Judiciary,Referred to the House Committee on the Judiciary.,2026-02-23,25,Other,"['K000403', 'R000612', 'N000026', 'H001052', 'A000055', 'M001212', 'J000311', 'D000616', 'S001214', 'S001148', 'D000634', 'B001325', 'W000806', 'T000480', 'H001101', 'H001077', 'H001086', 'M001233', 'S001188', 'C001129', 'H001095', 'S001224', 'M001239', 'O000175', 'P000609', 'H001096', 'M001218', 'H001093', 'S001212', 'F000475', 'W000814', 'T000490', 'M001211', 'M001213', 'C001115', 'B001316', 'S000522', 'M000871', 'M001240', 'K000392', 'M001236', 'D000032', 'B001295', 'R000614', 'G000568', 'F000474']"
283,H.R. 7650,https://www.congress.gov/bill/119th-congress/house-bill/7650,119th Congress (2025-2026),To amend Public Law 87-788 (commonly known as the McIntire-Stennis Cooperative Forestry Act; 16 U.S.C. 582a-7) to provide for equal treatment of the District of Columbia with respect to funds made available under that Act.,"Norton, Eleanor Holmes [Del.-D-DC-At Large]",2026-02-23,House - Agriculture,Referred to the House Committee on Agriculture.,2026-02-23,0,healthcare,[]
284,H.R. 7649,https://www.congress.gov/bill/119th-congress/house-bill/7649,119th Congress (2025-2026),Humanitarian Theft Enforcement Act,"McCormick, Richard [Rep.-R-GA-7]",2026-02-23,House - Foreign Affairs,Referred to the House Committee on Foreign Affairs.,2026-02-23,1,public_safety,['B001307']
